N°;MATRICULE;NOM;PRENOM;GRADE_FR;GRADE_EN;CATEGORIE_PROFESSIONNELLE;POSTE_DE_TRAVAIL_FR;POSTE_DE_TRAVAIL_EN;STRUCTURE_FR;STRUCTURE_EN;SERVICE_FR;SERVICE_EN;FAMILLE_METIER_FR;FAMILLE_METIER_EN;REGION_FR;REGION_EN;DEPARTEMENT_FR;DEPARTEMENT_EN;COMMUNE_FR;COMMUNE_EN;DATE_E_ADM;DATE_NAISSANCE;LIEU_NAISSANCE;SEXE;ETATCIVIL;TEL;EMAIL
389;MAT731074;Guichard;Lucie;CONTROLEUR DES IMPÔTS;Controleur Des Impôts;370;CONTRÔLEUR GESTIONNAIRE;Contrôleur Gestionnaire;DIRECTION DES GRANDES ENTREPRISES;Direction Des Grandes Entreprises;CGS FORET, EAU, PETROLE/DGE;Cgs Foret, Eau, Petrole/Dge;CGS FORET, EAU, PETROLE/DGE;CGS FORET, EAU, PETROLE/DGE;EST;EAST;HAUT-NYONG;Haut-Nyong;DIMAKO;Dimako;05/02/2018;25/09/1990;AKONOLINGA;F;CELIBATAIRE;607271555;diane82@chauveau.net
390;MAT371712;Berger;Éléonore;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;740;INSPECTEUR GESTIONNAIRE;Inspecteur Gestionnaire;DIRECTION DES GRANDES ENTREPRISES;Direction Des Grandes Entreprises;CGS COMMERCE GENERAL/DGE;Cgs Commerce General/Dge;CGS COMMERCE GENERAL/DGE;CGS COMMERCE GENERAL/DGE;NORD-OUEST;NORTHWEST;MEZAM;Mezam;BAMENDA;Bamenda;30/08/2013;20/12/1980;MundumI, Bamenda;F;MARIE(E);699578638;mfournier@torres.net
391;MAT596025;Michaud;Thibaut;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;785;CHEF DE CELLULE;Chef De Cellule;DIVISION DU CONTENTIEUX;Division Du Contentieux;CELLULE DU SUIVI, DES ANALYSES ET DES RECOURS GRACIEUX;Cellule Du Suivi, Des Analyses Et Des Recours Gracieux;CELLULE DU SUIVI, DES ANALYSES ET DES RECOURS GRACIEUX;CELLULE DU SUIVI, DES ANALYSES ET DES RECOURS GRACIEUX;CENTRE;CENTER;HAUTE SANAGA;Haute Sanaga;MINTA;Minta;JUIN 2004;08/11/1976;MINTA;F;MARIE(E);662262105;camusandre@club-internet.fr
392;MAT945183;Bourdon;Lucie;AGENT CONTRACTUEL D'ADMINISTRATION;Agent Contractuel D'Administration;8/7;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU SUD OUEST;Centre Regional Des Impots Du Sud Ouest;CDI LEBIALEM/CRISW;Cdi Lebialem/Crisw;CDI LEBIALEM/CRISW;CDI LEBIALEM/CRISW;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;ZOETELE;Zoetele;01/01/2009;19/06/1973;;M;MARIE(E);649827560;nath26@boulay.com
393;MAT431444;Huet;Jeanne;CONTROLEUR PRINCIPAL DES IMPOTS;Controleur Principal Des Impots;575;CHEF D'ANTENNE;Chef D'Antenne;PROGRAMME DE SECURISATION DES RECETTES DE L'ELEVAGE ET DES PECHES;Programme De Securisation Des Recettes De L'Elevage Et Des Peches;PSREP;Psrep;PSREP;PSREP;CENTRE;CENTER;LEKIE;Lekie;OBALA;Obala;15/12/2003;06/05/1972;NKOMETOU I;M;MARIE(E);665485372;anais77@cousin.org
394;MAT385456;Baron;Astrid;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/7;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;CDI4/CRIC2;Cdi4/Cric2;CDI4/CRIC2;CDI4/CRIC2;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;DJOUM;Djoum;01/01/2009;10/08/1979;Sangmelima;F;MARIE(E);616248852;lemoinethierry@voila.fr
395;MAT397900;Guichard;Philippe;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/8;COMPLEMENT D'EFFECTIF;Complement D'Effectif;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;Programme De Securisation Des Recettes Forestieres;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;Programme De Securisation Des Recettes Forestieres;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;CENTRE;CENTER;LEKIE;Lekie;OBALA;Obala;01/01/2009;19/09/1970;YAOUNDE;F;MARIE(E);627213349;bessonvirginie@legrand.fr
396;MAT738237;Marques;Philippe;CONTROLEUR PRINCIPAL DES IMPOTS;Controleur Principal Des Impots;540;COMPLÉMENT D'EFFECTIF CELLULE DE GESTION;Complément D'Effectif Cellule De Gestion;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;CSI/EPA;Csi/Epa;CSI/EPA;CSI/EPA;CENTRE;CENTER;MEFOU ET AKONO;Mefou Et Akono;MBANKOMO;Mbankomo;01/01/2012;02/05/1986;Mbalmayo;M;CELIBATAIRE;629037538;adriennesalmon@merle.com
397;MAT232747;Samson;Nathalie;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;1005;CHEF DE CELLULE;Chef De Cellule;DIVISION DU CONTENTIEUX;Division Du Contentieux;CELLULE DU CONTENTIEUX FISCAL;Cellule Du Contentieux Fiscal;CELLULE DU CONTENTIEUX FISCAL;CELLULE DU CONTENTIEUX FISCAL;SUD;SOUTH;OCEAN;Ocean;MVENGUE;Mvengue;13/09/2005;12/01/1977;Atinzam;M;MARIE(E);689984535;aimeaubry@carlier.fr
398;MAT474615;Humbert;Sylvie;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/1;COMPLEMENT D'EFFECTIF;Complement D'Effectif;DIVISION DES STATISTIQUES DES SIMULATIONS ET DE L'IMMATRICULATION;Division Des Statistiques Des Simulations Et De L'Immatriculation;CELLULE DE L'IMMATRICULATION;Cellule De L'Immatriculation;CELLULE DE L'IMMATRICULATION;CELLULE DE L'IMMATRICULATION;CENTRE;CENTER;MFOUNDI;Mfoundi;YAOUNDE 4;Yaounde 4;01/06/2020;18/11/1999;Yaoundé;M;CELIBATAIRE;632599777;nathalie16@perret.com
399;MAT395095;Dupont;Céline;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;785;CHEF DE CELLULE DE GESTION;Chef De Cellule De Gestion;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL 2;Centre Régional Des Impôts Du Littoral 2;CDI4/CRIL2;Cdi4/Cril2;CDI4/CRIL2;CDI4/CRIL2;NORD-OUEST;NORTHWEST;DONGA- MANTUNG;Donga- Mantung;NKAMBE;Nkambe;09/11/2009;27/05/1981;;F;MARIE(E);653140393;colindenise@chauvin.com
400;MAT932103;Chevallier;Virginie;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/5;COMPLÉMENT D'EFFECTIF RECETTE DES IMPÔTS;Complément D'Effectif Recette Des Impôts;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE EXTÉRIEUR;Centre Régional Des Impôts Du Centre Extérieur;RRI/CRIC EXT;Rri/Cric Ext;RRI/CRIC EXT;RRI/CRIC EXT;SUD;SOUTH;OCEAN;Ocean;LOKOUNDJE;Lokoundje;01/01/2009;25/11/1983;Makoure;F;MARIE(E);677248132;le-gallpaulette@orange.fr
401;MAT963657;Dupont;Bernard;AGENT CONTRACTUEL D'ADMINISTRATION;Agent Contractuel D'Administration;8/8;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU NORD OUEST;Centre Regional Des Impots Du Nord Ouest;CDI MEZAM;Cdi Mezam;CDI MEZAM;CDI MEZAM;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;ZOETELE;Zoetele;01/01/2009;17/03/1976;ZOETELE;F;MARIE(E);655741154;turpinemmanuelle@germain.org
402;MAT763525;Texier;Alfred;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;630;INSPECTEUR VERIFICATEUR;Inspecteur Verificateur;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;CDI5/CRIC2;Cdi5/Cric2;CDI5/CRIC2;CDI5/CRIC2;SUD;SOUTH;OCEAN;Ocean;AKOM II;Akom Ii;12/12/2016;22/04/1984;YAOUNDE;M;CELIBATAIRE;601483632;henriette92@clerc.net
403;MAT449350;Antoine;Inès;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/8;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DE L'OUEST;Centre Regional Des Impots De L'Ouest;BRE/CRIO;Bre/Crio;BRE/CRIO;BRE/CRIO;CENTRE;CENTER;LEKIE;Lekie;SA’A;Sa’A;01/01/2009;16/08/1972;SA'A;M;MARIE(E);666324420;henriette13@tiscali.fr
404;MAT523631;Gauthier;Dorothée;CONTROLEUR PRINCIPAL DES IMPOTS;Controleur Principal Des Impots;505;INSPECTEUR GESTIONNAIRE;Inspecteur Gestionnaire;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL 2;Centre Régional Des Impôts Du Littoral 2;CSPLI WOURI;Cspli Wouri;CSPLI WOURI;CSPLI WOURI;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;MEYOMESSALA;Meyomessala;15/12/2003;17/05/1977;NKOLESSAS;F;MARIE(E);664893057;antoine89@live.com
405;MAT159129;Leclerc;Andrée;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/5;CHARGÉ D'ETUDES ASSISTANT;Chargé D'Etudes Assistant;CENTRE REGIONAL DES IMPOTS DU NORD;Centre Regional Des Impots Du Nord;CRPSCV/CRIN;Crpscv/Crin;CRPSCV/CRIN;CRPSCV/CRIN;CENTRE;CENTER;LEKIE;Lekie;SA’A;Sa’A;01/01/2009;19/10/1971;NKOLVE;M;MARIE(E);628623450;edouardguibert@bazin.com
406;MAT163547;Couturier;Élise;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/5;COMPLEMENT D'EFFECTIF;Complement D'Effectif;PROGRAMME DE SECURISATION DES RECETTES MINIERES DE L'EAU ET DE L'ENERGIE;Programme De Securisation Des Recettes Minieres De L'Eau Et De L'Energie;PROGRAMME DE SECURISATION DES RECETTES MINIERES DE L'EAU ET DE L'ENERGIE;Programme De Securisation Des Recettes Minieres De L'Eau Et De L'Energie;PROGRAMME DE SECURISATION DES RECETTES MINIERES DE L'EAU ET DE L'ENERGIE;PROGRAMME DE SECURISATION DES RECETTES MINIERES DE L'EAU ET DE L'ENERGIE;CENTRE;CENTER;LEKIE;Lekie;EBEBDA;Ebebda;01/06/1999;11/06/1975;Yaoundé;M;CELIBATAIRE;657308734;wbazin@maillot.com
407;MAT119789;Michaud;Simone;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/4;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU SUD;Centre Regional Des Impots Du Sud;CDI VALLEE DU NTEM;Cdi Vallee Du Ntem;CDI VALLEE DU NTEM;CDI VALLEE DU NTEM;CENTRE;CENTER;NYONG ET SO’O;Nyong Et So’O;MBALMAYO;Mbalmayo;01/01/2009;05/04/1979;YAOUNDE;M;CELIBATAIRE;643306175;andreda-costa@couturier.fr
408;MAT627702;Deschamps;Matthieu;CONTROLEUR DES IMPÔTS;Controleur Des Impôts;445;CHEF DE CELLULE Pi;Chef De Cellule Pi;CENTRE REGIONAL DES IMPOTS DE L'OUEST;Centre Regional Des Impots De L'Ouest;CDI NOUN;Cdi Noun;CDI NOUN;CDI NOUN;CENTRE;CENTER;LEKIE;Lekie;OBALA;Obala;28/03/2011;05/07/1981;;M;CELIBATAIRE;613342853;schevallier@club-internet.fr
409;MAT332119;Dijoux;Claude;CONTROLEUR PRINCIPAL DES IMPOTS;Controleur Principal Des Impots;480;FONDÉ DE POUVOIR;Fondé De Pouvoir;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL 2;Centre Régional Des Impôts Du Littoral 2;CSPLI WOURI;Cspli Wouri;CSPLI WOURI;CSPLI WOURI;CENTRE;CENTER;LEKIE;Lekie;MONATELE;Monatele;15/12/2003;20/01/1974;LEKIE;M;MARIE(E);642475429;etienne57@voila.fr
410;MAT468914;Dupont;Margaux;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/8;CONTRÔLEUR GESTIONNAIRE;Contrôleur Gestionnaire;CENTRE REGIONAL DES IMPOTS DE L'ADAMAOUA;Centre Regional Des Impots De L'Adamaoua;CIME NGAOUNDERE;Cime Ngaoundere;CIME NGAOUNDERE;CIME NGAOUNDERE;SUD-OUEST;SOUTHWEST;MANYU;Manyu;EYUMOJOCK;Eyumojock;29/07/2010;27/05/1970;KUMBO;M;MARIE(E);696305580;bernadette89@bertin.fr
411;MAT198707;Bernier;Anastasie;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;7/8;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE EXTÉRIEUR;Centre Régional Des Impôts Du Centre Extérieur;CDI OBALA;Cdi Obala;CDI OBALA;CDI OBALA;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;ZOETELE;Zoetele;01/01/2009;05/05/1978;;M;CELIBATAIRE;666515064;antoine68@arnaud.com
412;MAT808090;Laurent;Vincent;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/3;CAISSIERE;Caissiere;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;RRI/CRIC2;Rri/Cric2;RRI/CRIC2;RRI/CRIC2;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;ZOETELE;Zoetele;01/01/2009;27/08/1975;Nseme;F;CELIBATAIRE;699746812;pierremercier@tiscali.fr
413;MAT280235;Colin;René;CONTROLEUR PRINCIPAL DES IMPOTS;Controleur Principal Des Impots;610;REGISSEUR;Regisseur;PROGRAMME DE SECURISATION DES RECETTES ROUTIERES;Programme De Securisation Des Recettes Routieres;PSRR/CRIE;Psrr/Crie;PSRR/CRIE;PSRR/CRIE;OUEST;WEST;MENOUA;Menoua;DSCHANG;Dschang;08/12/2004;26/09/1978;Douala;M;MARIE(E);632233885;corinnehamel@payet.fr
414;MAT527985;Raynaud;Antoine;INGENIEUR INFORMATICIEN;Ingenieur Informaticien;465;COMPLEMENT D'EFFECTIF;Complement D'Effectif;DIVISION DE L'INFORMATIQUE;Division De L'Informatique;CELLULE DES RESEAUX DE COMMUNICATION;Cellule Des Reseaux De Communication;CELLULE DES RESEAUX DE COMMUNICATION;CELLULE DES RESEAUX DE COMMUNICATION;NORD;NORTH;BENOUE;Benoue;GAROUA;Garoua;09/12/2021;23/02/1995;GAROUA;F;MARIE(E);605896456;zcharrier@gomes.fr
415;MAT873317;Pasquier;Vincent;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/8;TENEUR DE QUITTANCIER;Teneur De Quittancier;CENTRE REGIONAL DES IMPOTS DU SUD;Centre Regional Des Impots Du Sud;RRI/CRIS;Rri/Cris;RRI/CRIS;RRI/CRIS;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;ZOETELE;Zoetele;01/01/2009;24/06/1977;NDEM;F;MARIE(E);698032074;franckpinto@gmail.com
416;MAT195699;Étienne;Philippe;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/3;CHARGÉ D'ETUDES ASSISTANT;Chargé D'Etudes Assistant;CENTRE REGIONAL DES IMPOTS DU SUD;Centre Regional Des Impots Du Sud;CSE/CRIS;Cse/Cris;CSE/CRIS;CSE/CRIS;EST;EAST;HAUT-NYONG;Haut-Nyong;MESSAMENA;Messamena;01/01/2009;22/06/1967;MESSAMENA;M;MARIE(E);625435077;inesroyer@wanadoo.fr
417;MAT509914;Mahe;Antoine;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/9;CONTRÔLEUR GESTIONNAIRE;Contrôleur Gestionnaire;CENTRE REGIONAL DES IMPOTS DU NORD;Centre Regional Des Impots Du Nord;CIME GAROUA;Cime Garoua;CIME GAROUA;CIME GAROUA;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;SANGMELIMA;Sangmelima;01/01/2009;12/06/1976;-----;M;CELIBATAIRE;633330315;elise53@germain.fr
418;MAT397853;Costa;Dominique;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/4;FONDÉ DE POUVOIR;Fondé De Pouvoir;CENTRE REGIONAL DES IMPOTS DU LITTORAL 1;Centre Regional Des Impots Du Littoral 1;CIME BONANJO;Cime Bonanjo;CIME BONANJO;CIME BONANJO;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;MEYOMESSALA;Meyomessala;01/01/2009;16/11/1974;SANGMELIMA;F;CELIBATAIRE;672216570;francois16@barthelemy.com
419;MAT134727;Boyer;Lucy;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/3;COMPLEMENT D'EFFECTIF;Complement D'Effectif;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;Programme De Securisation Des Recettes Forestieres;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;Programme De Securisation Des Recettes Forestieres;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;SUD;SOUTH;MVILA;Mvila;EBOLOWA 1;Ebolowa 1;17/05/2010;24/10/1972;MVANGANE;M;MARIE(E);649497504;andremadeleine@noos.fr
420;MAT413629;Moreno;Adèle;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/6;CHEF DE BRIGADE RECOUVREMENT;Chef De Brigade Recouvrement;CENTRE REGIONAL DES IMPOTS DE L'ADAMAOUA;Centre Regional Des Impots De L'Adamaoua;CDI MAYO BANYO;Cdi Mayo Banyo;CDI MAYO BANYO;CDI MAYO BANYO;ADAMAOUA;ADAMAWA;VINA;Vina;MBE;Mbe;01/01/2009;10/01/1978;MBE;M;MARIE(E);615716824;denisnoemi@perret.org
421;MAT388728;Charpentier;Michelle;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/7;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU SUD;Centre Regional Des Impots Du Sud;CSE/CRIS;Cse/Cris;CSE/CRIS;CSE/CRIS;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;ZOETELE;Zoetele;01/01/2009;23/06/1978;NKOUMADJAP;F;CELIBATAIRE;607182244;odette74@bodin.com
422;MAT777681;Bonnin;Claudine;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/8;CHEF DE SERVICE;Chef De Service;DIRECTION DES GRANDES ENTREPRISES;Direction Des Grandes Entreprises;SERVICE DU COURRIER ET DES ARCHIVES;Service Du Courrier Et Des Archives;SERVICE DU COURRIER ET DES ARCHIVES;SERVICE DU COURRIER ET DES ARCHIVES;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;ZOETELE;Zoetele;01/01/2009;03/02/1975;Yaoundé;F;CELIBATAIRE;667365796;gle-roux@gmail.com
423;MAT350608;Maury;Arnaude;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/8;CHEF DE SERVICE DE L'INFORMATION;Chef De Service De L'Information;CENTRE REGIONAL DES IMPOTS DU LITTORAL 1;Centre Regional Des Impots Du Littoral 1;CIME BONANJO;Cime Bonanjo;CIME BONANJO;CIME BONANJO;CENTRE;CENTER;MBAM ET INOUBOU;Mbam Et Inoubou;NITOUKOU;Nitoukou;01/01/2009;06/11/1974;YAOUNDE;M;MARIE(E);649723930;iimbert@david.com
424;MAT665096;Weiss;David;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/9;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU LITTORAL 1;Centre Regional Des Impots Du Littoral 1;CDI2/CRIL1;Cdi2/Cril1;CDI2/CRIL1;CDI2/CRIL1;CENTRE;CENTER;MBAM ET INOUBOU;Mbam Et Inoubou;OMBESSA;Ombessa;01/01/2009;21/05/1969;NANGA EBOKO;M;CELIBATAIRE;641404708;isabelle23@ifrance.com
425;MAT273726;Imbert;Amélie;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;680;CHEF DE SERVICE DU SUIVI DES CONTRIBUABLES;Chef De Service Du Suivi Des Contribuables;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;CSPLI MFOUNDI;Cspli Mfoundi;CSPLI MFOUNDI;CSPLI MFOUNDI;CENTRE;CENTER;LEKIE;Lekie;OBALA;Obala;10/04/2014;10/06/1987;EFOCK;F;MARIE(E);677219235;bourgeoismichelle@free.fr
426;MAT404377;Hernandez;Philippe;CONTROLEUR DES IMPÔTS;Controleur Des Impôts;270;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU LITTORAL 1;Centre Regional Des Impots Du Littoral 1;CIME BONANJO;Cime Bonanjo;CIME BONANJO;CIME BONANJO;NORD-OUEST;NORTHWEST;BUI;Bui;OKU;Oku;23/07/2024;05/06/1991;BANSO;M;CELIBATAIRE;696037329;dupuisaugustin@voila.fr
427;MAT689645;François;Luc;INGÉNIEUR DES TRAVAUX DE LA STATISTIQUE;Ingénieur Des Travaux De La Statistique;480;COMPLEMENT D'EFFECTIF;Complement D'Effectif;DIVISION DES STATISTIQUES DES SIMULATIONS ET DE L'IMMATRICULATION;Division Des Statistiques Des Simulations Et De L'Immatriculation;CELLULE DE L'IMMATRICULATION;Cellule De L'Immatriculation;CELLULE DE L'IMMATRICULATION;CELLULE DE L'IMMATRICULATION;ADAMAOUA;ADAMAWA;DJEREM;Djerem;TIBATI;Tibati;21/06/2022;14/09/1996;NGAOUBELA-TIBATI;M;CELIBATAIRE;632253373;leclercqmaurice@orange.fr
428;MAT854790;Gros;Frédérique;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;630;INSPECTEUR VÉRIFICATEUR;Inspecteur Vérificateur;DIRECTION DES GRANDES ENTREPRISES;Direction Des Grandes Entreprises;BCV SERVICES/DGE;Bcv Services/Dge;BCV SERVICES/DGE;BCV SERVICES/DGE;LITTORAL;LITTORAL;SANAGA MARITIME;Sanaga Maritime;EDEA 2;Edea 2;10/04/2014;14/02/1981;;M;MARIE(E);686132816;julien16@noos.fr
429;MAT711039;Nicolas;Maggie;CONTROLEUR DES IMPÔTS;Controleur Des Impôts;270;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL EXTÉRIEUR;Centre Régional Des Impôts Du Littoral Extérieur;SAG/CRIL EXT;Sag/Cril Ext;SAG/CRIL EXT;SAG/CRIL EXT;ADAMAOUA;ADAMAWA;MAYO BANY;Mayo Bany;BANKIM;Bankim;15/05/2023;20/10/1993;FIGUIL;F;CELIBATAIRE;692833610;fredericbreton@gmail.com
430;MAT388747;Roche;Nicole;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/3;COMPLEMENT D'EFFECTIF;Complement D'Effectif;DIVISION DES STATISTIQUES DES SIMULATIONS ET DE L'IMMATRICULATION;Division Des Statistiques Des Simulations Et De L'Immatriculation;CELLULE DE L'IMMATRICULATION;Cellule De L'Immatriculation;CELLULE DE L'IMMATRICULATION;CELLULE DE L'IMMATRICULATION;LITTORAL;LITTORAL;SANAGA MARITIME;Sanaga Maritime;EDEA 2;Edea 2;02/01/2019;17/01/1986;Yaoundé;F;CELIBATAIRE;686708834;qhamon@collet.com
431;MAT683009;Henry;Jacqueline;AGENT CONTRACTUEL D'ADMINISTRATION;Agent Contractuel D'Administration;8/8;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU LITTORAL 1;Centre Regional Des Impots Du Littoral 1;CRPSCV/CRIL1;Crpscv/Cril1;CRPSCV/CRIL1;CRPSCV/CRIL1;ADAMAOUA;ADAMAWA;VINA;Vina;BELE;Bele;01/01/2009;12/04/1975;NGAOUNDERE;M;MARIE(E);669257353;gautierandre@dbmail.com
432;MAT800699;Vallet;Suzanne;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/8;PEAGISTE;Peagiste;PROGRAMME DE SECURISATION DES RECETTES ROUTIERES;Programme De Securisation Des Recettes Routieres;PROGRAMME DE SECURISATION DES RECETTES ROUTIERES;Programme De Securisation Des Recettes Routieres;PROGRAMME DE SECURISATION DES RECETTES ROUTIERES;PROGRAMME DE SECURISATION DES RECETTES ROUTIERES;LITTORAL;LITTORAL;SANAGA MARITIME;Sanaga Maritime;NDOM;Ndom;01/01/2009;31/07/1972;;M;MARIE(E);624472650;marguerite28@live.com
433;MAT955105;Ledoux;Josette;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;1005;CHEF DE CELLULE;Chef De Cellule;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL EXTÉRIEUR;Centre Régional Des Impôts Du Littoral Extérieur;CCX/CRIL EXT;Ccx/Cril Ext;CCX/CRIL EXT;CCX/CRIL EXT;LITTORAL;LITTORAL;WOURI;Wouri;DOUALA 1;Douala 1;20/06/2003;12/04/1973;DOUALA;M;CELIBATAIRE;669312094;astridda-costa@dbmail.com
434;MAT376965;Peltier;Timothée;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;870;CONTROLEUR D'ETAT;Controleur D'Etat;CONTRÔLE SUPERIEUR DE L'ETAT;Contrôle Superieur De L'Etat;CONTRÔLE SUPERIEUR DE L'ETAT;Contrôle Superieur De L'Etat;CONTRÔLE SUPERIEUR DE L'ETAT;CONTRÔLE SUPERIEUR DE L'ETAT;LITTORAL;LITTORAL;SANAGA MARITIME;Sanaga Maritime;EDEA 1;Edea 1;12/11/2007;14/11/1979;EDEA;M;CELIBATAIRE;676334397;antoinetristan@noos.fr
435;MAT718954;Lenoir;David;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;785;DIRECTEUR;Directeur;MINISTERE DE LA SANTE PUBLIQUE;Ministere De La Sante Publique;MINISTERE DE LA SANTE PUBLIQUE;Ministere De La Sante Publique;MINISTERE DE LA SANTE PUBLIQUE;MINISTERE DE LA SANTE PUBLIQUE;CENTRE;CENTER;MFOUNDI;Mfoundi;YAOUNDE 3;Yaounde 3;17/08/2001;24/12/1973;YAOUNDE;M;MARIE(E);691631119;victorhernandez@free.fr
436;MAT519578;Lopes;Odette;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;680;CADRE D'APPUI;Cadre D'Appui;DIRECTION DES GRANDES ENTREPRISES;Direction Des Grandes Entreprises;CGS BANQUES, ASSURANCES.../DGE;Cgs Banques, Assurances.../Dge;CGS BANQUES, ASSURANCES.../DGE;CGS BANQUES, ASSURANCES.../DGE;CENTRE;CENTER;MBAM ET INOUBOU;Mbam Et Inoubou;NDIKINIMIKI;Ndikinimiki;14/10/2014;04/11/1985;Nkongsamba;M;MARIE(E);625195876;robinjulien@tiscali.fr
